id,lat,long
3466750,-19.113331,-51.734169
3160100,63.68697,9.66541
3664321,-6.66028,-69.873611
2112309,35.133331,140.300003
6185377,62.456001,-114.352547
3650312,1.24917,-78.983063
3699427,-4.83333,-76.699997
1528796,41.17017,75.810577
3157781,67.258827,15.39181
922704,-11.66089,27.47938
111453,36.673599,48.478699
2187393,-38.683331,177.916672
608324,44.166672,52.116669
3447997,-27.94389,-52.923061
2636790,58.209251,-6.38649
3458134,-11.71139,-40.148891
1804979,32.317371,121.185516
1254367,11.23333,79.833328
4017152,30.16667,-111.099998
3031005,47.083328,2.4
1501706,53.9599,81.209297
3929295,-12.86667,-72.716667
689857,48.828491,30.03957
1526038,51.799999,68.333328
537541,52.083328,59.724998
3514518,19.41667,-97
3372707,38.51667,-28.700001
3081752,54.790859,18.4009
3661756,-2.99,-65.10833
218253,3.81461,23.686649
1283318,26.718281,85.906464
2247684,16.51293,-14.64706
1061335,-21.216669,48.333328
1272502,20.714052,70.982239
2428228,12.996,15.72927
3374210,14.8961,-24.49556
6179652,49.666752,-103.851089
2142316,-23.133329,150.733337
3667471,1.57491,-77.286659
217389,-5.51,22.26667
3899695,-41.86972,-73.820282
3422683,68.30648,-53.46405
1218420,39.481602,62.913738
5866583,57.790001,-152.407227
3622228,9.97625,-84.838364
5017822,47.47356,-94.88028
2347470,10.31344,9.84327
3533475,19.95583,-99.841667
1262029,27.16667,88.349998
3693305,-5.71667,-79.883331
5294167,32.755901,-111.55484
3460622,-15.65972,-40.065559
1529660,41.123058,80.264442
1150965,9.96583,98.634758
2443304,14.4605,5.2437
134602,36.68642,52.522549
4447161,33.450401,-88.81839
5445298,37.7528,-100.017082
3395062,-3.38361,-57.718609
2990474,46.989559,3.159
3840092,-42.769199,-65.038513
342190,10.45,38.200001
3377301,8.2,-59.783329
897045,-12.1688,26.38938
217834,-9.2,25.85
129512,37.380711,55.491638
2630299,64.253868,-15.2082
1283333,26.90943,87.928238
3181480,46.79583,11.93638
2109528,-8.14497,159.592117
3114531,42.01667,-4.53333
2259947,-1.87639,15.86444
4328010,29.59577,-90.719528
2122104,53.0452,158.6483
3489440,17.881451,-76.409271
3452327,-18.41778,-46.41806
3520271,25.98333,-98.099998
669590,44.22472,22.709169
908913,-10.2621,29.92712
2016405,52.135231,113.497398
2167426,-23.533331,148.166672
161974,39.244629,55.515362
3861344,-34.89566,-60.01667
5248171,43.296669,-87.987587
6170031,69.45414,-133.037415
6167817,47.666592,-52.73135
229112,2.53453,34.666592
1966226,6.84722,124.720558
178073,-3.40193,38.364021
1863997,32.688061,128.841934
1488074,55.56715,75.705002
2729907,78.218597,15.64007
155514,-3.59833,30.50194
522945,52.801998,51.166
3007609,48.73333,-3.46667
5582371,40.484982,-106.831718
2654938,51.878189,0.55292
155274,-8.68333,36.716671
1692861,18.50746,122.150352
136702,32.694099,47.267899
2082539,-8.46667,140.333328
625721,52.7985,28.004801
3387204,-0.71667,-48.523331
2294086,7.73916,-2.10456
178093,-2.38886,40.43821
3421319,64.183472,-51.721569
1278935,16.58333,82.01667
3108126,40.3456,-1.10646
3670260,1.87863,-76.275574
5848280,22.075211,-159.318954
777073,70.074364,29.74872
336454,7.13333,40.700001
2013459,52.700001,115.166672
3883457,-37.616669,-73.650002
1308522,22.116671,95.133331
2109701,-8.76761,160.703354
645766,64.76667,26.1
6096551,66.145111,-65.712517
1269602,14.53333,76.349998
80509,31.756149,25.086531
1142264,32.374512,62.116379
2397614,-2.40077,11.35813
2024812,50.676109,113.593063
149070,-7.98598,38.75795
1797535,20.005831,110.354172
3831208,77.483971,-69.363213
2616172,55.44603,8.39786
3435038,-36.313221,-57.67918
2178753,-10.45442,161.920456
2112232,36.783329,140.75
1687834,7.28889,126.573334
3598787,14.3,-91.916672
3470338,-22.29528,-53.271111
878400,-10.8,35.049999
2318921,7.85,9.78333
1053384,-18.16667,49.383331
1496073,52.517799,99.824997
320533,37.459171,30.594999
3149510,61.570648,11.05548
2171722,-20.1,146.266663
3981345,25.6,-109.050003
5692947,48.146969,-103.617973
6113406,54.316139,-130.320114
2074865,-24.866671,113.633331
204953,-6.41667,20.799999
328709,9.56667,37.099998
2022773,62.666672,135.600006
5420241,37.27528,-107.880074
1850523,34.98333,139.866669
3445026,-20.32972,-40.2925
2094144,-7.96309,145.778503
3407407,-3.90139,-38.391109
961226,-29.03801,24.602779
4160795,25.086519,-80.447281
137956,28.75194,54.544441
3531368,20.866671,-90.400002
5976783,49.382992,-121.441437
2019867,61.46806,128.920273
